x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
0.70,0.64,0.072136296,-0.079978316,-0.017834842,0.015674304,0.009695941,-0.004623628,-0.006075157,0.644461793,0.662296635,0.63692639,0.647625175
0.72,0.66,0.055353541,-0.081994871,-0.013910939,0.017506681,0.00782401,-0.006299822,-0.00517727,0.663261102,0.677172041,0.65184135,0.663318443
0.74,0.67,0.038482233,-0.083486938,-0.00978696,0.018891843,0.00564016,-0.007614884,-0.003876131,0.681624477,0.691411437,0.666879435,0.67837045
0.76,0.69,0.021549361,-0.084444973,-0.005522217,0.019794404,0.003231454,-0.00849343,-0.002273084,0.699515385,0.705037602,0.682011743,0.692778257
0.78,0.70,0.004582014,-0.084862849,-0.001178049,0.020191309,0.000693921,-0.008885099,-0.000492988,0.716900607,0.718078656,0.697193427,0.706571513
0.80,0.72,-0.012392662,-0.084737892,0.003183062,0.020072418,-0.001871277,-0.008767437,0.001325507,0.733750327,0.730567265,0.712366124,0.719808055
0.82,0.73,-0.029347513,-0.084070902,0.007498392,0.019440768,-0.004361873,-0.008147191,0.003040759,0.750038188,0.742539796,0.727460901,0.732567333
0.84,0.74,-0.046255414,-0.082866145,0.011705874,0.018312495,-0.006678574,-0.007059914,0.004519169,0.765741332,0.754035458,0.742401536,0.744942282
0.86,0.76,-0.063089317,-0.081131328,0.015744995,0.016716422,-0.008729022,-0.005567935,0.005645584,0.780840417,0.765095422,0.757108022,0.757030373
0.88,0.77,-0.07982229,-0.078877547,0.019557659,0.014693321,-0.010431472,-0.003756779,0.006332271,0.795319609,0.77576195,0.771500101,0.768924609
0.90,0.78,-0.096427564,-0.076119219,0.023089031,0.012294872,-0.011718051,-0.001730269,0.006525742,0.809166555,0.786077524,0.785500703,0.780705231
0.92,0.80,-0.112878575,-0.072873987,0.026288319,0.009582346,-0.012537469,0.000395426,0.006210929,0.822372334,0.796084015,0.799039138,0.792432784
0.94,0.81,-0.129149004,-0.069162611,0.02910951,0.006625034,-0.012857058,0.002498455,0.005412352,0.834931387,0.805821877,0.812053901,0.804143094
0.96,0.82,-0.145212822,-0.06500883,0.031512026,0.003498483,-0.012664076,0.004458261,0.004192211,0.846841424,0.815329398,0.824494991,0.815844518
0.98,0.83,-0.161044331,-0.060439214,0.033461314,0.000282562,-0.011966217,0.006162503,0.002645544,0.858103317,0.824642003,0.836325659,0.827517613
1.00,0.84,-0.176618203,-0.055482994,0.034929337,-0.002940578,-0.010791304,0.007513484,0.000892817,0.868720969,0.833791632,0.847523514,0.839117213
1.02,0.85,-0.191909524,-0.050171872,0.03589498,-0.006088599,-0.009186174,0.008433762,-0.000929451,0.878701168,0.842806188,0.858080961,0.85057665
1.04,0.86,-0.20689383,-0.044539821,0.036344356,-0.009081084,-0.007214822,0.008870583,-0.002679325,0.888053423,0.851709067,0.868004973,0.861813714
1.06,0.87,-0.22154715,-0.038622867,0.036271001,-0.011841589,-0.004955837,0.008798906,-0.004220508,0.89678979,0.860518789,0.877316215,0.872737817
1.08,0.88,-0.235846043,-0.032458858,0.035675969,-0.014299596,-0.002499278,0.00822284,-0.00543296,0.904924674,0.869248704,0.886047578,0.883257697
1.10,0.89,-0.249767632,-0.026087224,0.03456782,-0.016392313,5.69189E-05,0.007175408,-0.006222243,0.912474628,0.877906808,0.894242202,0.893289036
