x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
1.44,-0.56,-0.625343486,-0.117177684,0.179171951,0.108949056,-0.074839143,-0.096005132,0.022617271,-0.56334922,-0.529239307,-0.602627168
1.46,-0.54,-0.631599835,-0.07916045,0.197304698,0.076673479,-0.103007243,-0.072632704,0.057970959,-0.513455587,-0.539789351,-0.554451096
1.48,-0.52,-0.635363549,-0.039894807,0.208447829,0.039580225,-0.121092277,-0.039059228,0.082290113,-0.466810527,-0.548322579,-0.505091694
1.50,-0.50,-0.636619772,-1.16993E-16,0.212206591,1.16993E-16,-0.127323954,-1.16993E-16,0.090945682,-0.424413182,-0.551737136,-0.460791454
1.52,-0.48,-0.635363549,0.039894807,0.208447829,-0.039580225,-0.121092277,0.039059228,0.082290113,-0.387020913,-0.547693414,-0.426344073
1.54,-0.46,-0.631599835,0.07916045,0.197304698,-0.076673479,-0.103007243,0.072632704,0.057970959,-0.355134687,-0.534815409,-0.404211746
1.56,-0.44,-0.625343486,0.117177684,0.179171951,-0.108949056,-0.074839143,0.096005132,0.022617271,-0.328993851,-0.512782049,-0.394159646
1.58,-0.42,-0.616619192,0.153346957,0.154691947,-0.134378963,-0.039345266,0.105893925,-0.017041521,-0.308580287,-0.482304516,-0.393452112
1.60,-0.40,-0.605461383,0.187097857,0.124731905,-0.151365346,-1.24793E-16,0.10091023,-0.053456531,-0.293631622,-0.444996967,-0.397543267
1.62,-0.38,-0.591914095,0.217898111,0.090353172,-0.158840887,0.039345266,0.081753994,-0.079696308,-0.283662812,-0.403158433,-0.401100747
1.64,-0.36,-0.576030792,0.245261983,0.052773633,-0.156335871,0.074839143,0.051115652,-0.090766221,-0.277995176,-0.359491905,-0.399142474
1.66,-0.34,-0.557874159,0.268757926,0.013324562,-0.144007698,0.103007243,0.013298269,-0.084559156,-0.275791671,-0.316792126,-0.388053014
1.68,-0.32,-0.537515852,0.288015396,-0.026596538,-0.122630991,0.121092277,-0.026386817,-0.062256603,-0.276096994,-0.277635709,-0.366279128
1.70,-0.30,-0.515036215,0.302730691,-0.065575443,-0.093548928,0.127323954,-0.062365952,-0.028103761,-0.277880966,-0.24410594,-0.334575654
1.72,-0.28,-0.490523965,0.312671743,-0.102231305,-0.058588842,0.121092277,-0.089585975,0.011398516,-0.280083527,-0.217580093,-0.295767552
1.74,-0.26,-0.464075842,0.317681774,-0.135265572,-0.019947404,0.103007243,-0.104223914,0.048731133,-0.281659639,-0.1985998,-0.254092581
1.76,-0.24,-0.435796223,0.317681774,-0.163507988,0.019947404,0.074839143,-0.104223914,0.076787979,-0.281622437,-0.18683589,-0.214271826
