x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
4.18,0.00,-0.102856203,-0.022499622,0.018163844,-0.004425155,-0.003691732,0.004427142,-0.001272952,0.012867261,-0.005296584,0.002820303,-0.000333887
4.20,0.00,-0.110196475,-0.019551806,0.01814801,-0.005815981,-0.002572107,0.004411669,-0.002054191,0.012270281,-0.005877729,0.002510359,0.000152881
4.22,0.00,-0.117360456,-0.016478926,0.017871158,-0.007058236,-0.001349939,0.004143301,-0.002675432,0.011546256,-0.006324903,0.002083272,0.000615403
4.24,0.00,-0.124336686,-0.013300637,0.01733727,-0.008120184,-7.39544E-05,0.003637421,-0.003088285,0.010705305,-0.006631966,0.001562173,0.001013036
4.26,0.00,-0.131114003,-0.01003727,0.016554025,-0.0089747,0.001204979,0.002923031,-0.003260594,0.009758454,-0.006795572,0.000974149,0.001311712
4.28,0.00,-0.137681566,-0.006709697,0.015532688,-0.009599952,0.002435874,0.00204108,-0.003178939,0.008717519,-0.006815169,0.00034891,0.001486768
4.30,0.00,-0.144028867,-0.003339206,0.014287948,-0.00997997,0.003569658,0.001042126,-0.002849679,0.007594991,-0.006692957,-0.000282645,0.001524908
4.32,0.00,-0.150145754,5.26444E-05,0.012837709,-0.010105045,0.004561131,-1.65664E-05,-0.002298459,0.006403916,-0.006433793,-0.000889879,0.001425147
4.34,0.00,-0.156022439,0.003444158,0.011202828,-0.009971982,0.005370766,-0.001074309,-0.001568215,0.00515777,-0.006045059,-0.001443843,0.001198682
4.36,0.00,-0.161649521,0.006813642,0.00940682,-0.00958418,0.005966286,-0.002070469,-0.000715824,0.003870337,-0.005536483,-0.001918588,0.000867705
4.38,0.00,-0.167017999,0.010139541,0.007475517,-0.008951547,0.006323948,-0.00294794,0.000192322,0.002555588,-0.004919928,-0.00229233,0.000463289
