x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),F1,F2,F3
3.80,-1.00,-0.393452657,-0.343357477,-0.254647909,-0.147153204,-0.736810134,-0.991458043,-1.138611247
3.82,-1.00,-0.355222509,-0.318357026,-0.251512771,-0.16693164,-0.673579534,-0.925092305,-1.092023945
3.84,-1.00,-0.316641799,-0.290530815,-0.242184553,-0.178669567,-0.607172614,-0.849357167,-1.028026734
3.86,-1.00,-0.277748601,-0.260125833,-0.226892948,-0.181801611,-0.537874434,-0.764767382,-0.946568993
3.88,-1.00,-0.2385813,-0.227411955,-0.206014486,-0.176176912,-0.465993255,-0.67200774,-0.848184652
3.90,-1.00,-0.199178547,-0.192679552,-0.180063263,-0.162066392,-0.391858099,-0.571921363,-0.733987754
3.92,-1.00,-0.159579229,-0.156236913,-0.149678285,-0.140149704,-0.315816142,-0.465494427,-0.605644132
3.94,-1.00,-0.119822426,-0.118407503,-0.115607731,-0.1114825,-0.238229929,-0.35383766,-0.46532016
3.96,-1.00,-0.079947372,-0.0795271,-0.078690531,-0.077445576,-0.159474472,-0.238165004,-0.31561058
3.98,-1.00,-0.039993421,-0.039940809,-0.039835709,-0.039678372,-0.079934229,-0.119769939,-0.15944831
4.00,-1.00,-3.11981E-16,-3.11981E-16,-3.11981E-16,-3.11981E-16,-6.23963E-16,-9.35944E-16,-1.24793E-15
